Timestamp,Captured Image,Processed Image,Width (mm),Height (mm)
20250429_144156,captured_image_20250429_144156.jpg,processed_image_20250429_144156.jpg,57.17,71.82
20250429_144250,captured_image_20250429_144250.jpg,processed_image_20250429_144250.jpg,104.06,31.38
20250430_103328,captured_image_20250430_103328.jpg,processed_image_20250430_103328.jpg,93.78,12.72
20250430_103404,captured_image_20250430_103404.jpg,processed_image_20250430_103404.jpg,91.69,10.63
20250509_125129,captured_image_20250509_125129.jpg,processed_image_20250509_125129.jpg,26.84,19.70
20250509_125452,captured_image_20250509_125452.jpg,processed_image_20250509_125452.jpg,111.56,74.61
20250509_125804,captured_image_20250509_125804.jpg,processed_image_20250509_125804.jpg,111.56,73.91
20250509_125809,captured_image_20250509_125809.jpg,processed_image_20250509_125809.jpg,108.94,76.17
20250509_125827,captured_image_20250509_125827.jpg,processed_image_20250509_125827.jpg,111.56,76.17
20250509_125937,captured_image_20250509_125937.jpg,processed_image_20250509_125937.jpg,213.33,145.00
20250509_130002,captured_image_20250509_130002.jpg,processed_image_20250509_130002.jpg,64.00,43.30
20250509_130545,captured_image_20250509_130545.jpg,processed_image_20250509_130545.jpg,26.42,10.33
20250509_130821,captured_image_20250509_130821.jpg,processed_image_20250509_130821.jpg,9.50,7.17
20250509_130826,captured_image_20250509_130826.jpg,processed_image_20250509_130826.jpg,3.75,8.67
20250509_130827,captured_image_20250509_130827.jpg,processed_image_20250509_130827.jpg,4.67,4.67
20250509_130828,captured_image_20250509_130828.jpg,processed_image_20250509_130828.jpg,6.92,5.25
20250509_130906,captured_image_20250509_130906.jpg,processed_image_20250509_130906.jpg,21.67,40.00
20250509_131008,captured_image_20250509_131008.jpg,processed_image_20250509_131008.jpg,53.33,36.17
20250509_131114,captured_image_20250509_131114.jpg,processed_image_20250509_131114.jpg,42.67,28.20
20250509_131229,captured_image_20250509_131229.jpg,processed_image_20250509_131229.jpg,42.67,27.67
20250509_131243,captured_image_20250509_131243.jpg,processed_image_20250509_131243.jpg,42.67,28.20
20250509_131328,captured_image_20250509_131328.jpg,processed_image_20250509_131328.jpg,42.67,27.60
20250509_131400,captured_image_20250509_131400.jpg,processed_image_20250509_131400.jpg,35.40,24.67
20250509_131402,captured_image_20250509_131402.jpg,processed_image_20250509_131402.jpg,35.47,24.33
20250509_131403,captured_image_20250509_131403.jpg,processed_image_20250509_131403.jpg,35.40,24.07
20250509_131404,captured_image_20250509_131404.jpg,processed_image_20250509_131404.jpg,34.80,24.53
20250509_131405,captured_image_20250509_131405.jpg,processed_image_20250509_131405.jpg,35.40,24.80
20250509_131405,captured_image_20250509_131405.jpg,processed_image_20250509_131405.jpg,34.80,24.53
20250509_131410,captured_image_20250509_131410.jpg,processed_image_20250509_131410.jpg,35.47,24.67
20250509_131439,captured_image_20250509_131439.jpg,processed_image_20250509_131439.jpg,42.67,29.47
20250509_131451,captured_image_20250509_131451.jpg,processed_image_20250509_131451.jpg,42.67,29.87
20250509_131457,captured_image_20250509_131457.jpg,processed_image_20250509_131457.jpg,42.67,29.47
20250509_131550,captured_image_20250509_131550.jpg,processed_image_20250509_131550.jpg,3.40,4.60
20250509_131553,captured_image_20250509_131553.jpg,processed_image_20250509_131553.jpg,3.27,4.67
20250509_131617,captured_image_20250509_131617.jpg,processed_image_20250509_131617.jpg,42.67,16.73
20250509_131619,captured_image_20250509_131619.jpg,processed_image_20250509_131619.jpg,42.67,18.67
20250509_131620,captured_image_20250509_131620.jpg,processed_image_20250509_131620.jpg,42.67,18.67
20250509_131642,captured_image_20250509_131642.jpg,processed_image_20250509_131642.jpg,8.00,8.33
20250509_131706,captured_image_20250509_131706.jpg,processed_image_20250509_131706.jpg,18.53,21.47
20250509_131732,captured_image_20250509_131732.jpg,processed_image_20250509_131732.jpg,42.67,30.20
20250509_131752,captured_image_20250509_131752.jpg,processed_image_20250509_131752.jpg,42.67,29.93
