Timestamp,Captured Image,Processed Image,Width (mm),Height (mm)
20250430_103251,captured_image_20250430_103251.jpg,processed_image_20250430_103251.jpg,69.03,17.26
20250505_191600,captured_image_20250505_191600.jpg,processed_image_20250505_191600.jpg,102.67,31.90
20250505_191700,captured_image_20250505_191700.jpg,processed_image_20250505_191700.jpg,84.02,10.11
20250505_192758,captured_image_20250505_192758.jpg,processed_image_20250505_192758.jpg,107.03,20.57
20250505_192853,captured_image_20250505_192853.jpg,processed_image_20250505_192853.jpg,84.19,28.94
20250505_193326,captured_image_20250505_193326.jpg,processed_image_20250505_193326.jpg,94.83,30.85
20250506_105408,captured_image_20250506_105408.jpg,processed_image_20250506_105408.jpg,39.57,14.64
20250506_105414,captured_image_20250506_105414.jpg,processed_image_20250506_105414.jpg,28.24,7.15
20250506_105416,captured_image_20250506_105416.jpg,processed_image_20250506_105416.jpg,17.26,14.29
20250506_105417,captured_image_20250506_105417.jpg,processed_image_20250506_105417.jpg,35.73,21.61
20250506_105448,captured_image_20250506_105448.jpg,processed_image_20250506_105448.jpg,30.68,8.72
20250506_112438,captured_image_20250506_112438.jpg,processed_image_20250506_112438.jpg,111.56,33.64
20250506_112442,captured_image_20250506_112442.jpg,processed_image_20250506_112442.jpg,111.56,37.30
20250506_112442,captured_image_20250506_112442.jpg,processed_image_20250506_112442.jpg,111.56,35.56
20250506_112443,captured_image_20250506_112443.jpg,processed_image_20250506_112443.jpg,111.56,35.39
20250506_112444,captured_image_20250506_112444.jpg,processed_image_20250506_112444.jpg,111.56,54.56
20250506_112445,captured_image_20250506_112445.jpg,processed_image_20250506_112445.jpg,111.56,36.61
20250506_112446,captured_image_20250506_112446.jpg,processed_image_20250506_112446.jpg,111.56,46.54
20250506_112447,captured_image_20250506_112447.jpg,processed_image_20250506_112447.jpg,101.97,58.57
20250506_112449,captured_image_20250506_112449.jpg,processed_image_20250506_112449.jpg,111.56,55.08
20250506_112521,captured_image_20250506_112521.jpg,processed_image_20250506_112521.jpg,109.82,56.30
20250506_112539,captured_image_20250506_112539.jpg,processed_image_20250506_112539.jpg,77.22,36.43
20250506_112550,captured_image_20250506_112550.jpg,processed_image_20250506_112550.jpg,102.84,39.05
20250506_112557,captured_image_20250506_112557.jpg,processed_image_20250506_112557.jpg,109.82,62.06
20250506_112602,captured_image_20250506_112602.jpg,processed_image_20250506_112602.jpg,109.82,62.06
20250506_112605,captured_image_20250506_112605.jpg,processed_image_20250506_112605.jpg,109.82,62.06
